acc_cell_type,f1_cell_type,dataset,n_cells,n_cell_types,model
0.7207324504852295,0.6615737080574036,HLCA,1,8,scDiff-LLM
0.7097158432006836,0.6656754016876221,HLCA,1,8,scDiff-LLM
0.7029904723167419,0.5984228253364563,HLCA,1,8,scDiff-Embedding
0.4609092473983764,0.4177141785621643,Brain,1,8,scDiff-LLM
0.5290403962135315,0.4229545593261719,Brain,1,8,scDiff-LLM
0.6912685632705688,0.5884078741073608,HLCA,1,8,scDiff-Embedding
0.4558912515640259,0.4116607308387756,Brain,1,8,scDiff-Embedding
0.4805995523929596,0.4150721430778503,Brain,1,8,scDiff-Embedding
0.6754690408706665,0.5506678819656372,Liver,1,8,scDiff-Embedding
0.7285825610160828,0.5944854021072388,Liver,1,8,scDiff-LLM
0.5242082476615906,0.5044668912887573,Immune,1,8,scDiff-LLM
0.6732513308525085,0.5165234804153442,Liver,1,8,scDiff-Embedding
0.4184658229351044,0.3837743997573852,Immune,1,8,scDiff-Embedding
0.3722250759601593,0.3315960764884949,Immune,1,8,scDiff-Embedding
0.7418770790100098,0.6325948238372803,Liver,1,8,scDiff-LLM
0.5141140818595886,0.483931690454483,Immune,1,8,scDiff-LLM
0.7507901787757874,0.6623643636703491,HLCA,1,8,scDiff-LLM
0.7147340178489685,0.6312063932418823,HLCA,1,8,scDiff-Embedding
0.4330723285675049,0.4018677771091461,Brain,1,8,scDiff-Embedding
0.487446516752243,0.4166997969150543,Brain,1,8,scDiff-LLM
0.3981789350509643,0.3957894444465637,Immune,1,8,scDiff-Embedding
0.5110301971435547,0.4767301082611084,Immune,1,8,scDiff-LLM
0.6629787087440491,0.5264857411384583,HLCA,1,8,scDiff-Embedding
0.7024195194244385,0.6026240587234497,HLCA,1,8,scDiff-Embedding
0.7408362627029419,0.6498050689697266,HLCA,1,8,scDiff-LLM
0.7161834239959717,0.6419543027877808,HLCA,1,8,scDiff-LLM
0.6781567335128784,0.4711851775646209,Liver,1,8,scDiff-Embedding
0.7468981146812439,0.6903473138809204,Liver,1,8,scDiff-LLM
0.4676697552204132,0.395681619644165,Brain,1,8,scDiff-Embedding
0.4446345269680023,0.4212826788425445,Brain,1,8,scDiff-LLM
0.5267998576164246,0.4269040524959564,Brain,1,8,scDiff-LLM
0.4314294457435608,0.4104668796062469,Brain,1,8,scDiff-Embedding
0.4295982122421264,0.3348236083984375,Immune,1,8,scDiff-Embedding
0.398520290851593,0.3448999524116516,Immune,1,8,scDiff-Embedding
0.7633109092712402,0.6164520978927612,Liver,1,8,scDiff-LLM
0.5220812559127808,0.4998903274536133,Immune,1,8,scDiff-LLM
0.5270757079124451,0.5015047788619995,Immune,1,8,scDiff-LLM
0.6941076517105103,0.5926826000213623,Liver,1,8,scDiff-Embedding
0.6768176555633545,0.555062472820282,Liver,1,8,scDiff-Embedding
0.7252711653709412,0.6037371158599854,Liver,1,8,scDiff-LLM
0.7200427055358887,0.6448440551757812,HLCA,1,7,scDiff-Embedding
0.7014766931533813,0.5754222273826599,HLCA,1,7,scDiff-Embedding
0.7671781778335571,0.6992859840393066,HLCA,1,7,scDiff-LLM
0.766704261302948,0.6736095547676086,HLCA,1,7,scDiff-LLM
0.4955469369888305,0.4515151083469391,Brain,1,7,scDiff-LLM
0.5053548812866211,0.4671725034713745,Brain,1,7,scDiff-LLM
0.4851593971252441,0.3823385536670685,Brain,1,7,scDiff-Embedding
0.4866753816604614,0.4197651743888855,Brain,1,7,scDiff-Embedding
0.4302177429199219,0.3650788962841034,Immune,1,7,scDiff-Embedding
0.4827038049697876,0.4011790454387665,Immune,1,7,scDiff-Embedding
0.6142230033874512,0.5310868620872498,Immune,1,7,scDiff-LLM
0.6285715699195862,0.5508691668510437,Immune,1,7,scDiff-LLM
0.749599277973175,0.6448089480400085,Liver,1,7,scDiff-Embedding
0.7005079984664917,0.5579652786254883,Liver,1,7,scDiff-LLM
0.7655540108680725,0.6097110509872437,Liver,1,7,scDiff-Embedding
0.7840008735656738,0.6399108171463013,Liver,1,7,scDiff-LLM
0.7608997821807861,0.6543784141540527,HLCA,1,7,scDiff-Embedding
0.7479860782623291,0.6177494525909424,HLCA,1,7,scDiff-Embedding
0.7696214914321899,0.6722369194030762,HLCA,1,7,scDiff-LLM
0.7844592928886414,0.7292783856391907,HLCA,1,7,scDiff-LLM
0.763373613357544,0.6623223423957825,HLCA,1,7,scDiff-LLM
0.7408448457717896,0.5921042561531067,HLCA,1,7,scDiff-Embedding
0.4931843280792236,0.4129864275455475,Brain,1,7,scDiff-Embedding
0.4465832412242889,0.4384795129299164,Brain,1,7,scDiff-LLM
0.4933215975761413,0.4751307368278503,Brain,1,7,scDiff-LLM
0.4723470807075501,0.4455403387546539,Brain,1,7,scDiff-LLM
0.5172065496444702,0.4553532898426056,Brain,1,7,scDiff-Embedding
0.4848764538764953,0.404714286327362,Brain,1,7,scDiff-Embedding
0.4406917691230774,0.3489226102828979,Immune,1,7,scDiff-Embedding
0.5928175449371338,0.4932236075401306,Immune,1,7,scDiff-LLM
0.6043206453323364,0.531606912612915,Immune,1,7,scDiff-LLM
0.4246710538864136,0.3341559767723083,Immune,1,7,scDiff-Embedding
0.4891409277915954,0.3063853681087494,Immune,1,7,scDiff-Embedding
0.6033559441566467,0.5122660994529724,Immune,1,7,scDiff-LLM
0.7708909511566162,0.6694315075874329,Liver,1,7,scDiff-Embedding
0.7389501333236694,0.6079490184783936,Liver,1,7,scDiff-Embedding
0.7576302886009216,0.6641534566879272,Liver,1,7,scDiff-Embedding
0.7565892338752747,0.6139611601829529,Liver,1,7,scDiff-LLM
0.7999893426895142,0.7169058322906494,Liver,1,7,scDiff-LLM
0.7895277738571167,0.6546017527580261,Liver,1,7,scDiff-LLM
0.7122569680213928,0.6059889197349548,HLCA,1,6,scDiff-Embedding
0.7149181962013245,0.608390748500824,HLCA,1,6,scDiff-Embedding
0.4547914564609528,0.3827541470527649,Brain,1,6,scDiff-Embedding
0.7705154418945312,0.6781246662139893,HLCA,1,6,scDiff-LLM
0.4764882028102875,0.4554298520088196,Brain,1,6,scDiff-LLM
0.5672462582588196,0.5250873565673828,Brain,1,6,scDiff-LLM
0.4813107848167419,0.4025028645992279,Brain,1,6,scDiff-Embedding
0.7652023434638977,0.6606324315071106,HLCA,1,6,scDiff-LLM
0.5238563418388367,0.4566818475723266,Immune,1,6,scDiff-Embedding
0.6341976523399353,0.595603346824646,Immune,1,6,scDiff-LLM
0.6297749280929565,0.6118730306625366,Immune,1,6,scDiff-LLM
0.4792406857013702,0.4402955174446106,Immune,1,6,scDiff-Embedding
0.8359934091567993,0.5946046113967896,Liver,1,6,scDiff-Embedding
0.8314726948738098,0.4824311435222626,Liver,1,6,scDiff-Embedding
0.8597796559333801,0.5983871817588806,Liver,1,6,scDiff-LLM
0.8374544978141785,0.5915576815605164,Liver,1,6,scDiff-LLM
0.7570042610168457,0.6510221362113953,HLCA,1,6,scDiff-LLM
0.7527646422386169,0.6864750981330872,HLCA,1,6,scDiff-LLM
0.7065914869308472,0.5895470976829529,HLCA,1,6,scDiff-Embedding
0.7129276990890503,0.5539228916168213,HLCA,1,6,scDiff-Embedding
0.7429012656211853,0.5467984676361084,HLCA,1,6,scDiff-Embedding
0.7646719813346863,0.6839107275009155,HLCA,1,6,scDiff-LLM
0.4794387817382813,0.4478128850460053,Brain,1,6,scDiff-LLM
0.5164965391159058,0.4643399715423584,Brain,1,6,scDiff-LLM
0.4903991222381592,0.4348839223384857,Brain,1,6,scDiff-Embedding
0.4862775802612304,0.4005082547664642,Brain,1,6,scDiff-Embedding
0.4500859081745148,0.3760669827461242,Brain,1,6,scDiff-Embedding
0.4974434375762939,0.4703471958637237,Brain,1,6,scDiff-LLM
0.5183125734329224,0.419267326593399,Immune,1,6,scDiff-Embedding
0.5093031525611877,0.3241939842700958,Immune,1,6,scDiff-Embedding
0.6369724869728088,0.5921671986579895,Immune,1,6,scDiff-LLM
0.5972133278846741,0.5853445529937744,Immune,1,6,scDiff-LLM
0.6148808598518372,0.5477806925773621,Immune,1,6,scDiff-LLM
0.8309630155563354,0.6314307451248169,Liver,1,6,scDiff-Embedding
0.8468669056892395,0.6471576690673828,Liver,1,6,scDiff-Embedding
0.8444873094558716,0.6439647674560547,Liver,1,6,scDiff-Embedding
0.854271650314331,0.5933922529220581,Liver,1,6,scDiff-LLM
0.7946750521659851,0.542254626750946,Liver,1,6,scDiff-LLM
0.5081291794776917,0.406965434551239,Immune,1,6,scDiff-Embedding
0.7885667085647583,0.5240001678466797,Liver,1,6,scDiff-LLM
0.6754263639450073,0.6155482530593872,HLCA,1,5,scDiff-Embedding
0.7717558145523071,0.727946400642395,HLCA,1,5,scDiff-LLM
0.5058662295341492,0.4688032865524292,Brain,1,5,scDiff-Embedding
0.5552642941474915,0.5295458436012268,Brain,1,5,scDiff-LLM
0.6312185525894165,0.4872713088989258,Immune,1,5,scDiff-Embedding
0.7933149337768555,0.7800322771072388,Immune,1,5,scDiff-LLM
0.8041496872901917,0.5862102508544922,Liver,1,5,scDiff-Embedding
0.8288981318473816,0.4779990911483764,Liver,1,5,scDiff-LLM
0.821599543094635,0.8079302906990051,HLCA,1,5,scDiff-LLM
0.7160592079162598,0.608940064907074,HLCA,1,5,scDiff-Embedding
0.5422951579093933,0.466228574514389,Brain,1,5,scDiff-Embedding
0.5278065800666809,0.5152068734169006,Brain,1,5,scDiff-LLM
0.6592997908592224,0.5364179611206055,Immune,1,5,scDiff-Embedding
0.7426880598068237,0.7151982188224792,Immune,1,5,scDiff-LLM
0.8324976563453674,0.5886521339416504,Liver,1,5,scDiff-Embedding
